price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
7500000.0,1200,2,2,1,3,1,3,2,1,2,1,Attiguppe,0,0,0,1,0,0,0,1,0,1,0,0,0,0
6500000.0,1005,2,2,2,4,1,0,2,1,2,0,Attiguppe,1,0,1,0,0,1,0,1,1,0,0,0,0,1
9000000.0,2000,4,6,0,4,1,0,1,2,3,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500000.0,1260,3,3,0,1,1,0,1,2,2,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500000.0,998,2,2,2,4,1,1,2,3,1,1,Attiguppe,0,0,1,0,0,0,1,1,0,1,0,0,0,0
11000000.0,1560,3,2,2,0,1,1,1,2,2,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13500000.0,1310,2,2,3,3,1,2,3,1,1,1,Attiguppe,0,0,1,1,0,0,1,1,1,1,1,1,0,1
6300000.0,1629,2,2,4,4,1,0,2,1,1,1,Banashankari,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6000000.0,550,2,2,1,4,1,0,1,1,3,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000000.0,1350,3,2,2,4,1,1,2,2,2,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9500000.0,1350,3,3,1,1,1,1,3,2,2,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500000.0,1300,3,3,0,3,1,0,0,4,2,0,Banashankari,0,0,0,0,0,0,1,1,0,0,0,0,0,0
8300000.0,1160,2,2,3,3,1,2,3,5,2,1,Banashankari,1,0,0,0,1,1,1,1,0,1,0,0,0,1
6000000.0,1050,2,2,2,4,1,0,2,0,2,1,Banashankari,1,0,0,0,1,0,0,0,0,1,0,0,0,0
11500000.0,995,2,2,1,4,1,0,2,3,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27000000.0,1950,3,3,2,0,1,0,0,3,2,1,Banashankari,0,1,1,1,1,0,0,1,1,1,0,0,0,0
64000000.0,3100,4,3,2,4,1,0,3,2,1,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000.0,1455,3,3,2,5,1,1,3,1,1,1,Banashankari,0,1,0,1,1,0,1,1,1,1,0,0,0,1
6900000.0,1200,3,3,1,4,1,0,2,1,1,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6498999.999999999,1280,2,2,3,4,1,1,2,2,1,1,Banashankari,1,0,1,1,0,0,1,1,1,1,0,1,0,1
10500000.0,1750,3,3,1,4,1,1,2,3,2,1,Banashankari,1,0,0,0,0,1,0,1,0,1,1,0,0,1
7500000.0,1260,3,2,1,5,1,1,1,2,2,1,Banashankari,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17700000.0,1540,3,3,2,3,1,1,2,2,2,1,Banashankari,0,0,0,0,1,1,0,0,1,1,0,0,0,0
10200000.0,2100,4,1,1,4,1,0,2,2,1,0,Banashankari,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14500000.0,1940,3,2,2,4,1,1,2,2,2,0,Banashankari,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36000000.0,6386,3,12,8,4,1,0,2,2,2,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000000.0,1275,2,2,1,2,1,1,2,2,2,1,Banashankari,0,1,1,0,1,1,1,1,0,1,1,0,0,0
